unit_id	review_tier	source_text_en	current_candidate_fi	combined_review_priority	finding_status	existing_human_decision	domain_expert_review_recommended	source_authority_status	human_disposition	final_finnish	reviewer	reviewer_role	decision_rationale	decision_date
S4A-2026-010	TIER_3	Does this person have any of these health problems?	Onko tällä henkilöllä jokin näistä terveysongelmista?	NONE	NO_CRITIC_ISSUE		false	CANONICAL						
S4A-2026-011	TIER_3	Cancer	Syöpä	NONE	NO_CRITIC_ISSUE		false	CANONICAL						
S4A-2026-012	TIER_3	Heart or circulation problems	Sydämen tai verenkierron ongelmat	NONE	NO_CRITIC_ISSUE		false	CANONICAL						
S4A-2026-013	TIER_3	Kidney problems	Munuaisongelmat	NONE	NO_CRITIC_ISSUE		false	CANONICAL						
S4A-2026-014	TIER_2	Less able to manage usual activities and health is getting poorer.	Toimintakyky on heikentynyt tavanomaisissa toimissa, ja terveys heikkenee.	LOW	CRITIC_B_ONLY	Project Owner: less able to manage usual activities -> toimintakyky on heikentynyt.	false	CANONICAL						
S4A-2026-015	TIER_3	Heart failure or heart blood vessel disease. Short of breath or has chest pain when resting, moving or walking a few steps.	Sydämen vajaatoiminta tai sydämen verisuonisairaus. Hengenahdistusta tai rintakipua levätessä, liikkuessa tai kävellessä muutaman askeleen.	NONE	NO_CRITIC_ISSUE		false	CANONICAL						
S4A-2026-016	TIER_3	Kidneys are not working well; general health is getting poorer.	Munuaiset eivät toimi hyvin; yleinen terveys heikkenee.	NONE	NO_CRITIC_ISSUE		false	CANONICAL						
S4A-2026-017	TIER_1	Not well enough for cancer treatment or treatment is to help with symptoms.	Ei ole riittävän hyväkuntoinen syöpähoitoon, tai hoito on oireiden helpottamiseksi.	MEDIUM	CRITIC_B_ONLY	Project Owner: not well enough for cancer treatment -> ei ole riittävän hyväkuntoinen syöpähoitoon. Critic B raised a possible hyväkuntoinen / physical-fitness ambiguity. EXISTING_HUMAN_DECISION_REQUIRES_RECONSIDERATION_AT_G5. Do not decide.	true	CANONICAL						
S4A-2026-018	TIER_2	Leg problems due to poor blood circulation; surgery is not possible.	Jalkaongelmia huonon verenkierron vuoksi; leikkaus ei ole mahdollinen.	LOW	CRITIC_B_ONLY		false	CANONICAL						
S4A-2026-019	TIER_3	Stopping kidney dialysis or choosing palliative care instead of starting dialysis.	Munuaisdialyysin lopettaminen tai palliatiivisen hoidon valitseminen dialyysin aloittamisen sijaan.	NONE	NO_CRITIC_ISSUE		false	CANONICAL						
S4A-2026-020	TIER_3	Stopping or not starting dialysis	Dialyysin lopettaminen tai aloittamatta jättäminen	NONE	NO_CRITIC_ISSUE		false	CANONICAL						
S4A-2026-021	TIER_1	Dementia or frailty	Dementia tai hauraus	MEDIUM	CRITIC_B_ONLY	NO_FINAL_RECORDED_HUMAN_WORDING_DECISION. Frailty/hauraus was discussed before G1; no final recorded human term is preserved.	true	CANONICAL						
S4A-2026-022	TIER_3	Respiratory problems	Hengitysongelmat	NONE	NO_CRITIC_ISSUE		false	CANONICAL						
S4A-2026-023	TIER_3	Liver problems	Maksaongelmat	NONE	NO_CRITIC_ISSUE		false	CANONICAL						
S4A-2026-024	TIER_3	Unable to dress, walk or eat without help.	Ei pysty pukeutumaan, kävelemään tai syömään ilman apua.	NONE	NO_CRITIC_ISSUE		false	CANONICAL						
S4A-2026-025	TIER_1	More unwell with long term lung problems. Short of breath when resting, moving or walking a few steps even when the chest is at its best.	Vointi on huonompi pitkäaikaisten keuhko-ongelmien yhteydessä. Hengenahdistusta levätessä, liikkuessa tai kävellessä muutaman askeleen silloinkin, kun rintakehä on parhaimmillaan.	HIGH	CORROBORATED		true	CANONICAL						
S4A-2026-026	TIER_1	Worsening liver problems in the past year with complications like:	Kuluneen vuoden aikana pahentuneita maksaongelmia, joihin liittyy lisäongelmia, kuten:	MEDIUM	CORROBORATED		true	CANONICAL						
S4A-2026-027	TIER_3	fluid building up in the belly	nesteen kertymistä vatsaan	NONE	NO_CRITIC_ISSUE		false	CANONICAL						
S4A-2026-028	TIER_3	being confused at times	ajoittaista sekavuutta	NONE	NO_CRITIC_ISSUE		false	CANONICAL						
S4A-2026-029	TIER_3	kidneys not working well	munuaiset eivät toimi hyvin	NONE	NO_CRITIC_ISSUE		false	CANONICAL						
S4A-2026-030	TIER_3	infections	infektioita	NONE	NO_CRITIC_ISSUE		false	CANONICAL						
S4A-2026-031	TIER_3	bleeding from the gullet	verenvuotoa ruokatorvesta	NONE	NO_CRITIC_ISSUE		false	CANONICAL						
S4A-2026-032	TIER_3	Eating and drinking less; difficulty with swallowing.	Syö ja juo vähemmän; nielemisvaikeuksia.	NONE	NO_CRITIC_ISSUE		false	CANONICAL						
S4A-2026-033	TIER_2	Needs to use oxygen for much of the day and night.	Tarvitsee käyttää happea suuren osan päivästä ja yöstä.	LOW	CRITIC_B_ONLY		false	CANONICAL						
S4A-2026-034	TIER_2	Has poor control of bladder and bowels.	Virtsarakon ja suolen hallinta on heikkoa.	LOW	CRITIC_B_ONLY		false	CANONICAL						
S4A-2026-035	TIER_3	Has needed treatment with a breathing machine in hospital.	On tarvinnut sairaalassa hoitoa hengityskoneella.	NONE	NO_CRITIC_ISSUE	T-013 Project Owner: breathing machine -> hengityskone.	false	CANONICAL						
S4A-2026-036	TIER_1	Not able to communicate by speaking; not responding much to other people.	Ei pysty viestimään puhumalla; ei vastaa juurikaan muihin ihmisiin.	MEDIUM	CRITIC_B_ONLY		false	CANONICAL						
S4A-2026-037	TIER_3	Frequent falls; fractured femur.	Toistuvia kaatumisia; reisiluun murtuma.	NONE	NO_CRITIC_ISSUE		false	CANONICAL						
S4A-2026-038	TIER_3	Frequent infections; pneumonia	Toistuvia infektioita; keuhkokuume	NONE	NO_CRITIC_ISSUE		false	CANONICAL						
S4A-2026-039	TIER_3	Nervous system problems	Hermoston ongelmat	NONE	NO_CRITIC_ISSUE		false	CANONICAL						
S4A-2026-040	TIER_2	Other conditions	Muut terveydentilat	LOW	CRITIC_B_ONLY		false	CANONICAL						
S4A-2026-041	TIER_3	Physical and mental health are getting worse.	Fyysinen terveys ja mielenterveys heikkenevät.	NONE	NO_CRITIC_ISSUE		false	CANONICAL						
S4A-2026-042	TIER_1	People who are less well with other life shortening physical or mental illnesses or health conditions. There is no treatment available or it will not work well.	Ihmiset, joiden terveydentila on heikentynyt ja joilla on muita elinikää lyhentäviä fyysisiä sairauksia, mielenterveyden sairauksia tai terveydentiloja. Hoitoa ei ole saatavilla tai se ei tehoa hyvin.	MEDIUM	CORROBORATED	Project Owner: less well -> terveydentila on heikentynyt. T-002: elinikää lyhentävät terveydentilat. Critics raised source-fidelity (current poorer state versus recorded deterioration). EXISTING_HUMAN_DECISION_REQUIRES_RECONSIDERATION_AT_G5. Do not auto-retain or overwrite.	false	CANONICAL						
S4A-2026-043	TIER_2	More problems with speaking and communicating; swallowing is getting worse.	Enemmän ongelmia puhumisessa ja viestimisessä; nieleminen vaikeutuu.	LOW	CRITIC_B_ONLY		false	CANONICAL						
S4A-2026-044	TIER_3	What we can do to help this person and their family.	Mitä voimme tehdä tämän henkilön ja hänen perheensä auttamiseksi.	NONE	NO_CRITIC_ISSUE		false	CANONICAL						
S4A-2026-045	TIER_1	Chest infections or pneumonia; breathing problems.	Rintakehän infektioita tai keuhkokuume; hengitysongelmia.	BLOCKER	CORROBORATED		true	CANONICAL						
S4A-2026-046	TIER_3	Start talking with the person and their family or carer about help needed now and why making plans is important in case things change.	Aloita keskustelu henkilön ja hänen perheensä tai hänestä huolehtivan ihmisen kanssa siitä, mitä apua tarvitaan nyt ja miksi suunnitelmien tekeminen on tärkeää siltä varalta, että asiat muuttuvat.	NONE	NO_CRITIC_ISSUE		false	CANONICAL						
S4A-2026-047	TIER_2	Ongoing disability with increasing physical and/or mental health problems after one or more strokes.	Jatkuva toimintarajoite, johon liittyy lisääntyviä fyysisen terveyden ja/tai mielenterveyden ongelmia yhden tai useamman aivohalvauksen jälkeen.	LOW	CRITIC_B_ONLY		false	CANONICAL						
S4A-2026-048	TIER_3	Ask for help and advice from a nurse, doctor, social worker or other staff if the person or family needs a review of their care and support.	Pyydä apua ja neuvoa sairaanhoitajalta, lääkäriltä, sosiaalityöntekijältä tai muulta henkilökunnalta, jos henkilö tai perhe tarvitsee hoitonsa ja tukensa tarkastelua.	NONE	NO_CRITIC_ISSUE		false	CANONICAL						
S4A-2026-049	TIER_1	We look at the person’s medicines and other treatments to give the best care. Holistic care includes symptoms, emotional, social, functional, financial, spiritual, cultural problems.	Tarkastelemme henkilön lääkkeitä ja muita hoitoja, jotta voimme antaa parasta hoitoa. Kokonaisvaltainen hoito kattaa oireet sekä tunne-elämään, sosiaaliseen elämään, toimintakykyyn, talouteen, henkisiin ja hengellisiin kysymyksiin sekä kulttuuriin liittyvät ongelmat.	MEDIUM	CORROBORATED	T-016 Sami / domain expert: holistic care -> kokonaisvaltainen hoito. This records the holistic-care term only; it does not decide the spiritual/henkinen question.	true	CANONICAL						
S4A-2026-050	TIER_3	Ask for specialist help if symptoms or problems are difficult to manage.	Pyydä asiantuntija-apua, jos oireita tai ongelmia on vaikea hallita.	NONE	NO_CRITIC_ISSUE		false	CANONICAL						
S4A-2026-051	TIER_3	Care plans are shared with staff who need to see them and kept up to date.	Hoitosuunnitelmat jaetaan henkilökunnalle, jonka tarvitsee nähdä ne, ja ne pidetään ajan tasalla.	NONE	NO_CRITIC_ISSUE		false	CANONICAL						
S4A-2026-052	TIER_3	SPICT – 4ALL 2026	SPICT – 4ALL 2026	NONE	NO_CRITIC_ISSUE		false	CANONICAL						
S4A-REQ-2026-001	TIER_3	A liver transplant is not possible.	Maksansiirto ei ole mahdollinen.	NONE	NO_CRITIC_ISSUE		false	NONCANONICAL						
