decision_id	concept_en	exact_spict_context_en	source_unit_ids	clinical_risk	plain_language_risk	candidate_fi	candidate_origin	terminology_evidence_ids	terminology_source_ids	source_evidence_summary	model_semantic_mapping_note	conflict_status	alternative_fi	recommended_for_human_review	human_decision	human_decision_note	decided_by	decision_date	terveyskirjasto_evidence_ids	terveyskirjasto_terms	terveyskirjasto_evidence_status	evidence_after_enrichment	remaining_uncertainty
T-011	liver transplant	A liver transplant is not possible.	S4A-REQ-2026-001	HIGH	MEDIUM		NO_RELIABLE_TERMINOLOGY_EVIDENCE			No reliable correspondence found in the 136-entry set.	MODEL_SEMANTIC_MAPPING: No transplant entry occurs in the extracted set. Preserve not possible without converting it to refusal or a decision to stop treatment. This change-spec requirement remains noncanonical, authority-unresolved, publication-blocking and non-insertable; terminology review cannot add it to the canonical template.	NO_REGISTERED_CONFLICT_LINKED; MODEL_MAPPING_UNADJUDICATED		MAY_REMAIN_UNCONTROLLED_FOR_INDEPENDENT_AB					TERM-EVID-WEB-006-011;TERM-EVID-WEB-006-012;TERM-EVID-WEB-006-013;TERM-EVID-WEB-006-014;TERM-EVID-WEB-006-015	Maksansiirto;maksasiirre;elinsiirto;siirre;transplantaatio	PARTIAL_OR_CONTEXTUAL	STILL_INSUFFICIENT_PARTIAL_EVIDENCE	Maksansiirto esiintyy hoitotoimenpiteenä, maksasiirre siirrettävänä elimenä; siirre ja transplantaatio määritellään erikseen. Elinsiirto on yleisempi. Lopullista suomenkielistä valintaa ei tehdä. S4A-REQ-2026-001 jää ratkaisemattomaksi SPICT-lähdevaatimukseksi.
T-012	short of breath / respiratory problems	"Heart failure or heart blood vessel disease. Short of breath or has chest pain when resting, moving or walking a few steps.

Respiratory problems

More unwell with long term lung problems. Short of breath when resting, moving or walking a few steps even when the chest is at its best.

Chest infections or pneumonia; breathing problems."	S4A-2026-015|S4A-2026-022|S4A-2026-025|S4A-2026-045	HIGH	HIGH	Hengenahdistus	SOURCE_DERIVED_FINNISH_ONLY	TERM-EVID-PDF-001	TERM-SRC-001	TERM-EVID-PDF-001: Dyspnea; English=NOT_PROVIDED; definition=present	MODEL_SEMANTIC_MAPPING: The Finnish-only glossary defines Dyspnea as Hengenahdistus, vaikeutunut hengitys. The candidate quotes wording from that definition, not an explicit English label. It may support short of breath; it cannot narrow every respiratory or breathing problem to this one symptom. Preserve the rest/movement thresholds and even when the chest is at its best.	NO_REGISTERED_CONFLICT_LINKED; MODEL_MAPPING_UNADJUDICATED	vaikeutunut hengitys (same source definition; human must assess context)	MAY_REMAIN_UNCONTROLLED_FOR_INDEPENDENT_AB					TERM-EVID-WEB-006-016	hengenahdistus	PARTIAL_OR_CONTEXTUAL	EXISTING_EVIDENCE_PLUS_CONTEXT	Hengenahdistus on subjektiivinen oire; respiratory problems on laajempi. Rasitusta, vaikeutta ja syy-yhteyksiä ei saa päätellä sanastosta.
T-013	breathing machine	Has needed treatment with a breathing machine in hospital.	S4A-2026-035	HIGH	HIGH		NO_RELIABLE_TERMINOLOGY_EVIDENCE			No reliable correspondence found in the 136-entry set.	MODEL_SEMANTIC_MAPPING: The extracted medical-device entry has no definition and cannot identify the kind of breathing support meant here. No reliable device-specific terminology evidence is available. Do not add invasive ventilation, a named device or permanent dependence to the source.	NO_REGISTERED_CONFLICT_LINKED; MODEL_MAPPING_UNADJUDICATED		MAY_REMAIN_UNCONTROLLED_FOR_INDEPENDENT_AB					TERM-EVID-WEB-006-017	respiraattori	CORE_TERM_SUPPORTED	NEW_CORE_TERMINOLOGY_EVIDENCE_FOR_REVIEW	Respiraattori määritellään hengitystä tehostavaksi laitteeksi. Laitetyyppi ja maallikon ymmärtämä hengityskone/hengityslaite vaativat ihmisen valinnan; invasiivisuutta ei saa olettaa.
T-014	symptoms / treatment to help with symptoms	"Has troublesome symptoms most of the time despite good treatment of their health problems.

Not well enough for cancer treatment or treatment is to help with symptoms.

We look at the person’s medicines and other treatments to give the best care. Holistic care includes symptoms, emotional, social, functional, financial, spiritual, cultural problems.

Ask for specialist help if symptoms or problems are difficult to manage."	S4A-2026-008|S4A-2026-017|S4A-2026-049|S4A-2026-050	HIGH	MEDIUM	oireet / oireita lievittävä hoito	MODEL_PROPOSED_FROM_EVIDENCE	TERM-EVID-004-ROW-0079|TERM-EVID-004-ROW-0021	TERM-SRC-004	TERM-EVID-004-ROW-0079: terveysongelma; English=NOT_PROVIDED; definition=present | TERM-EVID-004-ROW-0021: hoito; English=NOT_PROVIDED; definition=present	MODEL_SEMANTIC_MAPPING: The Finnish health-problem definition mentions oire; the hoito definition includes alleviating problems and suffering. The plural and symptom-treatment phrase are model-proposed. Preserve troublesome symptoms despite good treatment, cancer treatment to help symptoms, and escalation when difficult to manage; do not equate symptom treatment with imminent dying.	NO_REGISTERED_CONFLICT_LINKED; MODEL_MAPPING_UNADJUDICATED		MAY_REMAIN_UNCONTROLLED_FOR_INDEPENDENT_AB					TERM-EVID-WEB-006-018	hoito	PARTIAL_OR_CONTEXTUAL	EXISTING_EVIDENCE_PLUS_CONTEXT	Hoidon määritelmä sisältää oireiden lievittämisen; katkelma ei kata kaikkia SPICT-oireita eikä ole valmis lausekäännös.
T-015	no treatment available / treatment will not work well	People who are less well with other life shortening physical or mental illnesses or health conditions. There is no treatment available or it will not work well.	S4A-2026-042	HIGH	HIGH		NO_RELIABLE_TERMINOLOGY_EVIDENCE			No reliable correspondence found in the 136-entry set.	MODEL_SEMANTIC_MAPPING: General availability and care-assessment entries do not establish this clinical treatment-option distinction. Leave the candidate blank. Preserve no available treatment versus poor expected effect; do not replace not work well with absolute futility or refusal.	NO_REGISTERED_CONFLICT_LINKED; MODEL_MAPPING_UNADJUDICATED		MAY_REMAIN_UNCONTROLLED_FOR_INDEPENDENT_AB					TERM-EVID-WEB-006-019	hoitovaste	PARTIAL_OR_CONTEXTUAL	STILL_INSUFFICIENT_PARTIAL_EVIDENCE	Hoitovaste kuvaa saavutettua muutosta. Hoidon puuttuminen, heikko teho ja tehoton hoito eivät ole keskenään sama asia; lähdelauseiden erot säilytettävä.
T-016	holistic care	We look at the person’s medicines and other treatments to give the best care. Holistic care includes symptoms, emotional, social, functional, financial, spiritual, cultural problems.	S4A-2026-049	MEDIUM	HIGH	kokonaisvaltainen hoito	MODEL_PROPOSED_FROM_EVIDENCE	TERM-EVID-004-ROW-0021|TERM-EVID-004-ROW-0084	TERM-SRC-004	TERM-EVID-004-ROW-0021: hoito; English=NOT_PROVIDED; definition=present | TERM-EVID-004-ROW-0084: Tiedonhallintapalvelun terveys- ja hoitosuunnitelma; English=NOT_PROVIDED; definition=present	MODEL_SEMANTIC_MAPPING: The broad hoito definition and a kokonaisvaltainen suunnitelma provide related Finnish wording. The candidate is model composition, not a source-supplied pair for holistic care. The evidence does not itself establish all seven SPICT domains; symptoms, emotional, social, functional, financial, spiritual and cultural problems must all remain visible.	NO_REGISTERED_CONFLICT_LINKED; MODEL_MAPPING_UNADJUDICATED		MAY_REMAIN_UNCONTROLLED_FOR_INDEPENDENT_AB							NO_USEFUL_EVIDENCE	MODEL_PROPOSED_FROM_EVIDENCE	Holistinen-haku ei antanut käyttökelpoista hoidon käsitemääritelmää. Laaja terveyskäsitys ei yksin todista holistic care -vastaavuutta.
T-017	functional problems / ongoing disability	"Less able to manage usual activities; not as well as they used to be.
(Person often stays in bed or in a chair for more than half the day.)

Less able to manage usual activities and health is getting poorer.

Unable to dress, walk or eat without help.

Has poor control of bladder and bowels.

Not able to communicate by speaking; not responding much to other people.

Frequent falls; fractured femur.

Physical and mental health are getting worse.

Ongoing disability with increasing physical and/or mental health problems after one or more strokes.

We look at the person’s medicines and other treatments to give the best care. Holistic care includes symptoms, emotional, social, functional, financial, spiritual, cultural problems."	S4A-2026-004|S4A-2026-014|S4A-2026-024|S4A-2026-034|S4A-2026-036|S4A-2026-037|S4A-2026-041|S4A-2026-047|S4A-2026-049	MEDIUM	HIGH	toimintakyvyn ongelmat	MODEL_PROPOSED_FROM_EVIDENCE	TERM-EVID-004-ROW-0004|TERM-EVID-004-ROW-0043	TERM-SRC-004	TERM-EVID-004-ROW-0004: apuväline; English=NOT_PROVIDED; definition=present | TERM-EVID-004-ROW-0043: kuntoutus; English=NOT_PROVIDED; definition=present	MODEL_SEMANTIC_MAPPING: The assistive-device and rehabilitation definitions use toimintakyky and functional limitation. They are context evidence, not source labels for impairment or disability. The candidate is a model construction. Preserve actual activities, assistance needs and ongoing post-stroke disability; do not add a rehabilitation intervention to SPICT.	NO_REGISTERED_CONFLICT_LINKED; MODEL_MAPPING_UNADJUDICATED		MAY_REMAIN_UNCONTROLLED_FOR_INDEPENDENT_AB					TERM-EVID-WEB-006-020	kuntoutus	PARTIAL_OR_CONTEXTUAL	EXISTING_EVIDENCE_PLUS_CONTEXT	Kuntoutuksen määritelmä tukee omatoimisuuden kontekstia; se ei määrittele jatkuvaa toimintarajoitetta eikä korvaa lähteen toimintakykykuvausta.
T-018	spiritual problems	We look at the person’s medicines and other treatments to give the best care. Holistic care includes symptoms, emotional, social, functional, financial, spiritual, cultural problems.	S4A-2026-049	MEDIUM	HIGH		NO_RELIABLE_TERMINOLOGY_EVIDENCE			No reliable correspondence found in the 136-entry set.	MODEL_SEMANTIC_MAPPING: No spiritual-care term or definition occurs in the extracted set. Generic social welfare or quality terms are insufficient. Ask the human reviewers to preserve this domain without restricting it to formal religion; this scope reading is model interpretation of the English, not a Finnish source claim.	NO_REGISTERED_CONFLICT_LINKED; MODEL_MAPPING_UNADJUDICATED		MAY_REMAIN_UNCONTROLLED_FOR_INDEPENDENT_AB							NO_USEFUL_EVIDENCE	NO_RELIABLE_TERMINOLOGY_EVIDENCE	Kohdennetusta hausta ei löytynyt käyttökelpoista näyttöä. Hengelliset ja eksistentiaaliset tarpeet sekä henkilön oma merkitys vaativat erillistä asiantuntemusta.
T-019	cultural problems	We look at the person’s medicines and other treatments to give the best care. Holistic care includes symptoms, emotional, social, functional, financial, spiritual, cultural problems.	S4A-2026-049	MEDIUM	HIGH		NO_RELIABLE_TERMINOLOGY_EVIDENCE			No reliable correspondence found in the 136-entry set.	MODEL_SEMANTIC_MAPPING: No cultural-care terminology entry occurs in the extracted set. Do not infer a Finnish equivalent from administrative social-service vocabulary. Review wording for the stated domain without labelling a culture itself as a problem.	NO_REGISTERED_CONFLICT_LINKED; MODEL_MAPPING_UNADJUDICATED		MAY_REMAIN_UNCONTROLLED_FOR_INDEPENDENT_AB							NO_USEFUL_EVIDENCE	NO_RELIABLE_TERMINOLOGY_EVIDENCE	Kohdennetusta hausta ei löytynyt käyttökelpoista näyttöä. Kulttuuriin liittyviä ongelmia ei saa supistaa diagnoosiksi tai kieliongelmaksi.
T-020	urgent or emergency hospital admissions or visits	Urgent or emergency hospital admission(s) or visits.	S4A-2026-003	HIGH	HIGH	kiireellinen sairaalahoito / sairaalakäynti	MODEL_PROPOSED_FROM_EVIDENCE	TERM-EVID-004-ROW-0022|TERM-EVID-004-ROW-0023|TERM-EVID-004-ROW-0057|TERM-EVID-004-ROW-0059	TERM-SRC-004	TERM-EVID-004-ROW-0022: kiireellinen hoito; English=NOT_PROVIDED; definition=present | TERM-EVID-004-ROW-0023: akuuttihoito; English=NOT_PROVIDED; definition=present | TERM-EVID-004-ROW-0057: osastohoitojakso; English=NOT_PROVIDED; definition=present | TERM-EVID-004-ROW-0059: käynti; English=NOT_PROVIDED; definition=present	MODEL_SEMANTIC_MAPPING: Finnish entries distinguish urgent care, emergency-unit care, ward episodes and visits. The combined candidate is model-proposed and provisional: sairaalahoito may describe care rather than the admission event. Human review must preserve urgency/emergency, admission versus visit, and the source singular/plural, without substituting ambulance/prehospital care.	NO_REGISTERED_CONFLICT_LINKED; MODEL_MAPPING_UNADJUDICATED		MAY_REMAIN_UNCONTROLLED_FOR_INDEPENDENT_AB					TERM-EVID-WEB-006-021	tarkkailuosasto	PARTIAL_OR_CONTEXTUAL	EXISTING_EVIDENCE_PLUS_CONTEXT	Tarkkailuosasto on sairaalan osasto. Katkelma ei määrittele kiireellisyyttä, päivystyskäyntiä tai sairaalaan ottamista kokonaisuutena; nämä erot jäävät ensihoidon ammattilaisen tarkistettaviksi.
T-021	specialist help	Ask for specialist help if symptoms or problems are difficult to manage.	S4A-2026-050	HIGH	MEDIUM	asiantuntijan apu	MODEL_PROPOSED_FROM_EVIDENCE	TERM-EVID-004-ROW-0038|TERM-EVID-004-ROW-0039	TERM-SRC-004	TERM-EVID-004-ROW-0038: konsultaatiopyyntö; English=NOT_PROVIDED; definition=present | TERM-EVID-004-ROW-0039: konsultaatiovastaus; English=NOT_PROVIDED; definition=present	MODEL_SEMANTIC_MAPPING: Consultation-request/response definitions support seeking advice between professionals. They do not explicitly translate specialist help or require physician-only referral. The candidate is a model proposal whose level of expertise must be assessed against the source escalation trigger; do not replace help with a mandatory referral process.	NO_REGISTERED_CONFLICT_LINKED; MODEL_MAPPING_UNADJUDICATED		MAY_REMAIN_UNCONTROLLED_FOR_INDEPENDENT_AB					TERM-EVID-WEB-006-022	konsultaatio	PARTIAL_OR_CONTEXTUAL	EXISTING_EVIDENCE_PLUS_CONTEXT	Konsultaatio koskee neuvon kysymistä; specialist help voi sisältää muitakin tukimuotoja. Lähteen termi ei yksin ratkaise erikoisalan avun laajuutta.
T-022	person: scope relative to patient / healthcare client	"The SPICT helps us look for people who have life shortening health conditions and are less well. These people need more help and care now, and a plan for care in the future.

Does this person have signs of poor health or health problems that are getting worse?

Needs more help and care from others due to increasing physical and/or mental health problems.

Person’s carer needs more help and support.

The person (or family) asks for palliative care; chooses to reduce, stop or not have treatment; or wishes to focus on quality of life.

Does this person have any of these health problems?

What we can do to help this person and their family.

Start talking with the person and their family or carer about help needed now and why making plans is important in case things change.

Ask for help and advice from a nurse, doctor, social worker or other staff if the person or family needs a review of their care and support.

We look at the person’s medicines and other treatments to give the best care. Holistic care includes symptoms, emotional, social, functional, financial, spiritual, cultural problems."	S4A-2026-001|S4A-2026-002|S4A-2026-005|S4A-2026-006|S4A-2026-009|S4A-2026-010|S4A-2026-044|S4A-2026-046|S4A-2026-048|S4A-2026-049	MEDIUM	HIGH	henkilö	MODEL_PROPOSED_FROM_EVIDENCE	TERM-EVID-004-ROW-0076|TERM-EVID-005-ROW-0008|TERM-EVID-004-ROW-0075|TERM-EVID-005-ROW-0007	TERM-SRC-004|TERM-SRC-005	TERM-EVID-004-ROW-0076: potilas; English=NOT_PROVIDED; definition=present | TERM-EVID-005-ROW-0008: potilas; English=SOURCE_EXPLICIT; definition=present | TERM-EVID-004-ROW-0075: terveydenhuollon asiakas; English=NOT_PROVIDED; definition=present | TERM-EVID-005-ROW-0007: terveydenhuollon asiakas; English=SOURCE_EXPLICIT; definition=present	MODEL_SEMANTIC_MAPPING: The source explicitly pairs patient with potilas and healthcare client with terveydenhuollon asiakas, not person. The candidate henkilö is model-selected from the source definitions to preserve the broader person-centred wording. The two registered definition conflicts remain unresolved; the presence of English labels must not be laundered into a person translation pair.	UNRESOLVED:TERM-CONFLICT-002|TERM-CONFLICT-004	potilas / terveydenhuollon asiakas (source terms for scope comparison only)	MAY_REMAIN_UNCONTROLLED_FOR_INDEPENDENT_AB					TERM-EVID-WEB-006-023	potilas	PARTIAL_OR_CONTEXTUAL	EXISTING_EVIDENCE_PLUS_CONTEXT	Potilas määritellään terveyspalvelusuhteen kautta; person ei automaattisesti rajaa henkilöä potilaaksi. Vanhoja potilas/asiakas-ristiriitoja ei ratkaista tällä määritelmällä.
